sd_m_2,d12,N 1,N 2,time1,time2
0.1,"8,00E-04",213.75,1505.75,"2,00E+08","2,00E+08"
0.1,"9,00E-04",330.25,1395.25,"2,00E+08","2,00E+08"
0.1,0.001,1262.5,532.25,"2,00E+08",150435000
0.1,0.0011,1809.25,0,"2,00E+08",630000
0.11,"1,00E-04",0,1657.75,520000,"2,00E+08"
0.11,"2,00E-04",0,1625.75,945000,"2,00E+08"
0.11,"3,00E-04",0,1643.5,925000,"2,00E+08"
0.11,"4,00E-04",0,1621.25,870000,"2,00E+08"
0.11,"5,00E-04",0,1639.25,1095000,"2,00E+08"
0.11,"6,00E-04",15.75,1608.75,50820000,"2,00E+08"
0.11,"7,00E-04",120,1574.5,"2,00E+08","2,00E+08"
0.11,"8,00E-04",145.75,1571.25,"2,00E+08","2,00E+08"
0.11,"9,00E-04",521.75,1270.5,"2,00E+08","2,00E+08"
0.11,0.001,1819.75,9.75,"2,00E+08",51230000
0.11,0.0011,1858.75,0,"2,00E+08",580000
0.12,"1,00E-04",0,1573.5,490000,"2,00E+08"
0.12,"2,00E-04",0,1549.75,630000,"2,00E+08"
0.12,"3,00E-04",0.75,1602,50705000,"2,00E+08"
0.12,"4,00E-04",0,1632.25,1205000,"2,00E+08"
0.12,"5,00E-04",0,1673.25,1240000,"2,00E+08"
0.12,"6,00E-04",79.5,1534.5,100910000,"2,00E+08"
0.12,"7,00E-04",275.5,1427.25,"2,00E+08","2,00E+08"
0.12,"8,00E-04",351,1401.75,"2,00E+08","2,00E+08"
0.12,"9,00E-04",697.5,1078.75,"2,00E+08","2,00E+08"
0.12,0.001,1815.5,0,"2,00E+08",1315000
0.12,0.0011,1836,0,"2,00E+08",430000
0.13,"1,00E-04",0,1626.75,645000,"2,00E+08"
0.13,"2,00E-04",0,1590.25,1355000,"2,00E+08"
0.13,"3,00E-04",0,1552,945000,"2,00E+08"
0.13,"4,00E-04",0,1611.75,1145000,"2,00E+08"
0.13,"5,00E-04",0,1566.5,1710000,"2,00E+08"
0.13,"6,00E-04",265,1448,"2,00E+08","2,00E+08"
0.13,"7,00E-04",481,1318.75,"2,00E+08","2,00E+08"
0.13,"8,00E-04",575.5,1189.75,"2,00E+08","2,00E+08"
0.13,"9,00E-04",1148.75,604.25,"2,00E+08","2,00E+08"
0.13,0.001,1867,0,"2,00E+08",730000
0.13,0.0011,1839.75,0,"2,00E+08",425000
0.14,"1,00E-04",0,1541,1125000,"2,00E+08"
0.14,"2,00E-04",0,1550.25,1080000,"2,00E+08"
0.14,"3,00E-04",36.75,1511.75,100590000,"2,00E+08"
0.14,"4,00E-04",19.5,1484.75,51235000,"2,00E+08"
0.14,"5,00E-04",252.25,1436.25,"2,00E+08","2,00E+08"
0.03,"7,00E-04",0,1840.25,1185000,"2,00E+08"
0.03,0.00075,22.25,1814.5,50765000,"2,00E+08"
0.03,"8,00E-04",71,1777.5,100655000,"2,00E+08"
0.03,0.00085,96.5,1710.25,"2,00E+08","2,00E+08"
0.03,"9,00E-04",431.25,1425.5,"2,00E+08","2,00E+08"
0.03,0.00095,1277,575.75,"2,00E+08","2,00E+08"
0.03,0.001,1691.5,123.5,"2,00E+08","2,00E+08"
0.03,0.00105,1808.25,6,"2,00E+08",50885000
0.03,0.0011,1823.75,0,"2,00E+08","1,00E+06"
0.035,"7,00E-04",0,1815.25,820000,"2,00E+08"
0.035,0.00075,0,1878.75,725000,"2,00E+08"
0.035,"8,00E-04",0,1871.75,740000,"2,00E+08"
0.035,0.00085,0,1809.75,1380000,"2,00E+08"
0.035,"9,00E-04",0,1820,975000,"2,00E+08"
0.035,0.00095,373.5,1486.75,150255000,"2,00E+08"
0.035,0.001,1485,340.5,"2,00E+08","2,00E+08"
0.035,0.00105,1812,13,"2,00E+08",51105000
0.035,0.0011,1802,0,"2,00E+08",695000
0.04,"7,00E-04",0,1835.25,825000,"2,00E+08"
0.04,0.00075,0,1825.25,890000,"2,00E+08"
0.04,"8,00E-04",0,1856,855000,"2,00E+08"
0.04,0.00085,0,1814.25,1080000,"2,00E+08"
0.04,"9,00E-04",14.75,1810,50820000,"2,00E+08"
0.04,0.00095,104,1750.75,100625000,"2,00E+08"
0.04,0.001,179.75,1697.25,"2,00E+08","2,00E+08"
0.04,0.00105,1713.5,68,"2,00E+08",51255000
0.04,0.0011,1873.5,0,"2,00E+08",1120000
0.045,"7,00E-04",0,1839.5,620000,"2,00E+08"
0.045,0.00075,0,1886,735000,"2,00E+08"
0.045,"8,00E-04",0,1782.5,830000,"2,00E+08"
0.045,0.00085,0,1896.75,765000,"2,00E+08"
0.045,"9,00E-04",0,1802.5,715000,"2,00E+08"
0.045,0.00095,4.5,1828.5,50720000,"2,00E+08"
0.045,0.001,469,1406.25,150480000,"2,00E+08"
0.045,0.00105,1442,408.5,"2,00E+08",150325000
0.045,0.0011,1834.5,34.75,"2,00E+08",50935000
0.05,"7,00E-04",0,1844.25,490000,"2,00E+08"
0.05,0.00075,0,1785,610000,"2,00E+08"
0.05,"8,00E-04",0,1828.75,665000,"2,00E+08"
0.05,0.00085,0,1810.25,935000,"2,00E+08"
0.05,"9,00E-04",0,1806,1170000,"2,00E+08"
0.05,0.00095,62.75,1769,51200000,"2,00E+08"
0.05,0.001,38.5,1776.25,100850000,"2,00E+08"
0.05,0.00105,1217.25,641.75,"2,00E+08","2,00E+08"
0.05,0.0011,1643.5,208.5,"2,00E+08",51180000
0.055,"7,00E-04",0,1819.5,475000,"2,00E+08"
0.055,0.00075,0,1777.75,610000,"2,00E+08"
0.055,"8,00E-04",0,1832,665000,"2,00E+08"
0.055,0.00085,0,1789,1030000,"2,00E+08"
0.055,"9,00E-04",0,1785.5,1065000,"2,00E+08"
0.055,0.00095,13.25,1804,50650000,"2,00E+08"
0.055,0.001,309.25,1524.75,150355000,"2,00E+08"
0.055,0.00105,1246.75,574.5,"2,00E+08","2,00E+08"
0.055,0.0011,1688.25,151.25,"2,00E+08",50705000
0.06,"7,00E-04",0,1860,560000,"2,00E+08"
0.06,0.00075,0,1711.25,730000,"2,00E+08"
0.06,"8,00E-04",0,1818,880000,"2,00E+08"
0.06,0.00085,0,1836.75,990000,"2,00E+08"
0.06,"9,00E-04",0,1779.75,"9,00E+05","2,00E+08"
0.06,0.00095,0,1809,1305000,"2,00E+08"
0.06,0.001,67,1755,51070000,"2,00E+08"
0.06,0.00105,822.25,979.25,"2,00E+08","2,00E+08"
0.06,0.0011,1833.5,0,"2,00E+08",1585000
0.065,"7,00E-04",0,1832.5,650000,"2,00E+08"
0.065,0.00075,0,1804.75,760000,"2,00E+08"
0.065,"8,00E-04",0,1759,985000,"2,00E+08"
0.065,0.00085,0,1790.5,690000,"2,00E+08"
0.065,"9,00E-04",0,1784.5,1050000,"2,00E+08"
0.065,0.00095,87.75,1749.75,100625000,"2,00E+08"
0.065,0.001,121.5,1661.75,150220000,"2,00E+08"
0.065,0.00105,688.5,1098.75,150465000,"2,00E+08"
0.065,0.0011,1402.25,460.25,150445000,50845000
0.07,"7,00E-04",0,1726,855000,"2,00E+08"
0.07,0.00075,0,1668,555000,"2,00E+08"
0.07,"8,00E-04",0,1780.75,990000,"2,00E+08"
0.07,0.00085,0,1775,870000,"2,00E+08"
0.07,"9,00E-04",19,1723,100520000,"2,00E+08"
0.07,0.00095,0,1775.25,1230000,"2,00E+08"
0.07,0.001,65.75,1701.5,150205000,"2,00E+08"
0.001,"1,00E-05",1422.25,439,"2,00E+08","2,00E+08"
0.001,"7,00E-05",1651.5,268.75,"2,00E+08","2,00E+08"
0.001,0.00013,1608.75,287.5,"2,00E+08","2,00E+08"
0.001,0.00019,1731.75,141.5,"2,00E+08","2,00E+08"
0.001,0.00025,1758.25,80.75,"2,00E+08","2,00E+08"
0.001,0.00031,1844.75,60.25,"2,00E+08","2,00E+08"
0.001,0.00037,1806,10,"2,00E+08",100700000
0.001,0.00043,1775.75,14.75,"2,00E+08",100615000
0.001,0.00049,1786.5,8.25,"2,00E+08",100660000
0.001,0.00055,1875.25,3.75,"2,00E+08",51090000
0.001,0.00061,1786.25,6.25,"2,00E+08",51045000
0.003,"1,00E-05",1450.25,529,"2,00E+08","2,00E+08"
0.003,"7,00E-05",1464,389.25,"2,00E+08","2,00E+08"
0.003,0.00013,1622.75,231.75,"2,00E+08","2,00E+08"
0.003,0.00019,1658,181.25,"2,00E+08","2,00E+08"
0.003,0.00025,1765,65.75,"2,00E+08","2,00E+08"
0.003,0.00031,1806.5,62.25,"2,00E+08","2,00E+08"
0.003,0.00037,1840.25,15.25,"2,00E+08",150480000
0.003,0.00043,1815,16.5,"2,00E+08",100720000
0.003,0.00049,1857.25,2.5,"2,00E+08",100550000
0.003,0.00055,1836.5,3.5,"2,00E+08",51200000
0.003,0.00061,1868.75,5.75,"2,00E+08",50830000
0.005,"1,00E-05",975.75,936.5,"2,00E+08","2,00E+08"
0.005,"7,00E-05",1057.25,818.75,"2,00E+08","2,00E+08"
0.005,0.00013,1421.5,562.25,"2,00E+08","2,00E+08"
0.005,0.00019,1478.5,342,"2,00E+08","2,00E+08"
0.005,0.00025,1699.25,214,"2,00E+08","2,00E+08"
0.005,0.00031,1761.75,127.25,"2,00E+08","2,00E+08"
0.005,0.00037,1801.5,64.25,"2,00E+08","2,00E+08"
0.005,0.00043,1810.5,38.5,"2,00E+08","2,00E+08"
0.005,0.00049,1817,1.75,"2,00E+08",51005000
0.005,0.00055,1835.5,2.5,"2,00E+08",50810000
0.005,0.00061,1810.25,0,"2,00E+08",1085000
0.007,"1,00E-05",527,1410.75,"2,00E+08","2,00E+08"
